Id,Type,Image,URL,Content,Timestamp,Impressions (Organic),Impressions (Paid),Reach (Organic),Reach (Paid),Likes,Saved,Comments,Clicks,Interactions,Engagement,Video Views (Organic),Video Views (Paid),Post clicks (Paid),Post Interactions (Paid),Spend
"3191396227549949130_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375371656_265821339735934_3191345125504385042_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TgtvklykXtcAX8DrjAO&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBawNwGnEtWbVhGCOaR6EdNHLypnylLvJxQULTi7J4qnw&oe=650908EC","https://www.instagram.com/p/CxKHfXQouzK/","⁉️Le saviez vous ?

En 2023, on sait l'impact que les pesticides ont sur les abeilles et autres insectes pollinisateurs, tout comme l'importance de ces espèces sur le bon équilibre de l'écosystème naturel. 

Mais ça vaut toujours le coup de le rappeler : l'usage excessif et régulier d'insecticides et pesticides ne touche pas uniquement les nuisibles et autres invasifs, mais aussi l'ensemble de la faune et même de la flore. 

Alors, pour protéger l'environnement tout en agissant contre les espèces invasives, faites appel à un professionnel. 

➡️ Chez Interventions Nuisibles, nous travaillons constamment à intégrer nos actions dans un cadre écoresponsable. Vous protéger, c'est aussi conserver l'équilibre naturel intact !

#lesaviezvous #cultureg #protectthebee #abeilles #environnement #ecologie #nature #pesticides #ecoresponsable #protection #green #protecttheearth",2023-09-14 06:01,43,,40,,2,0,0,"0",2,"50",,,,,
"3189614697255380883_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375395110_254129090347405_5297202010545136115_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xZbWVIa4oWAAX94zWnw&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAxU6tOKPgBRlsAg8a3iDZbcLIkHzHGP5dMbi2zg3DN7g&oe=6509A892","https://www.instagram.com/p/CxDyar4RaeT/","⁉️Le saviez vous ?

Elles parcourent la Terre depuis la nuit des temps : les fourmis sont présentes sur Terre depuis 130 millions d'années. 

Elles seraient apparues durant la période du Crétacé et, preuve de leur résistance, elles ont survécu aux évènements qui ont mené à la disparition des dinosaures !

#quizz #insectes #fourmis #dinosaures #histoire #fact #interessant #passé #ancien #cultureg #connaissance #knowledge #information #question",2023-09-11 19:02,59,,54,,1,0,1,"0",2,"37.04",,,,,
"3188481475727075154_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/377236465_1681125249067603_3790005658829589695_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_ZbTvKHYMsMAX-vD9Fu&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB-fUImk8g3ckwM_NZpFJsHhIHgJ0MfGG5RdIjaqD7GCA&oe=650A67A3","https://www.instagram.com/p/Cw_wwJFoCdS/","⁉️Le saviez vous ?

Elles mangent votre bois mais ne vous voient pas !

Les termites se dirigent grâce à leurs autres sens pour naviguer. 

Pas besoin de faire un mexican stand off pour les effrayer, appelez directement un professionnel !

#quizz #instagood #cultureg #connaissances #insectes #termites #bois #invasion #nuisibles",2023-09-10 05:30,50,,46,,1,0,0,"0",1,"21.74",,,,,
"3187817066080718353_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375861841_313787221163868_712482915190392803_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4DN2KrmtYj4AX9s6Nfr&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAJKgCRDUlFC0qjmibeu5uzz454DfoecYvnKpkmzON5Gw&oe=6509A85E","https://www.instagram.com/p/Cw9ZrtYq04R/","⁉️Le saviez vous ?

Dur dur de se débarrasser des punaises de lit !

Une fois installées, elles peuvent vous gâcher la vie pendant longtemps ! 

Agissez vite, agissez fort, faites appel à des pros !

#quizz #instagood #cultureg #connaissances #insectes #punaisesdelit #ugc #cinema #lit #airbnb",2023-09-09 07:30,74,,69,,1,0,1,"0",2,"28.99",,,,,
"3187047779757394357_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375792161_266838822896723_3096272600233917630_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xl02SxX_jmMAX-Dqa0G&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD70hB9t3C2x4Ge1HgYPZvAgCMKumRkv0NoBFSpv-rzJw&oe=650902E7","https://www.instagram.com/p/Cw6qxHqowm1/","⁉️Le saviez vous ?

Eh oui, l'araignée n'est pas un insecte, mais une arachnide. 

Les insectes : 6 pattes et un corps divisé en trois (tête, thorax et abdomen)

Arachnides : 8 pattes, un corps divisé en deux (céphalothorax et abdomen) ainsi que pas d'ailes ou d'antennes. 

De quoi frimer au prochain repas de famille ?

#quizz #instagood #cultureg #connaissances #insectes #araignees #arachnides #phobie",2023-09-08 06:02,49,,45,,1,0,0,"0",1,"22.22",,,,,
"3186690143267028772_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375398740_1028096975040214_8716430299814216111_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6eClLxxpiFoAX8SVPpC&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCezUFCsUF0h11vJl5aZWTAEpsJda7ht4PStr9k4vTLyw&oe=650ABA6D","https://www.instagram.com/p/Cw5Zc0uq38k/","⁉️Le saviez vous ?

Oui, les moustiques nous repèrent grâce au dioxyde de carbone émis par notre respiration. 

Difficile de se cacher de ces prédateurs de l'été...

#quizz #instagood #cultureg #connaissances #insectes #moustiques",2023-09-07 18:11,48,,40,,1,0,0,"0",1,"25",,,,,
"3185620860717992487_55644265820","FEED_CAROUSEL_ALBUM","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375189113_987738872527533_7338411872316044140_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=CPWsH81G-IAAX_BOykd&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCe93GDABDv6IKTspWtvyuM2yGAZLXiNLVH-CbMHQxZGA&oe=6509A224","https://www.instagram.com/p/Cw1mUtwK4on/","🔔C'est la rentrée, interro surprise !

Pour préparer l'automne dans les meilleures conditions, on vous a préparé un Vrai ou Faux pour revoir les basiques sur les nuisibles. ✅❎

Pas d'inquiétudes, si vous avez un trou de mémoire, Interventions Nuisibles est là pour vous souffler la bonne réponse ! Et pour être incollable sur les nuisibles et autres espèces invasives, contactez nous ☎️

Alors, vous avez eu combien de bonnes réponses ? 

#quizz #vraioufaux #rentrée #test #france #instagood",2023-09-06 06:47,45,,31,,2,0,0,"0",2,"64.52",,,,,
"3185266545362523857_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/375067927_1089006095410453_183568599166405413_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hPRirhw2RoUAX9qeJXx&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCSxyLuWVmnHWS-H1ce7vE-nI3sdlN2yRm-w4y1ggyOEg&oe=650A86AB","https://www.instagram.com/p/Cw0Vwv3RNbR/","➡️ Savez vous quel est la présence réelle des punaises de lit dans votre région ? 

Il peut être difficile de connaître le chiffre réel des infestations en France, mais une donnée nous permet d'en savoir plus : le nombre de personnes ayant consulté un médecin généraliste pour des réactions allergiques liées à ces insectes. 

Si les chiffres peuvent vous paraître bas sur certains territoires, prenez en compte le fait que les chiffres ont bondi de 50% en l'espace de deux ans. Une croissance énorme, à laquelle s'ajoute une autre information clé : d'ici 2030, ce sont 30 à 35% des foyers qui devraient êtres touchés par les punaises de lit ! 

En 2018, on estimait déjà le nombre de foyers touchés à près de 400 000 en France. En 5 ans, nous vous laissons calculer l'augmentation ! 

➡️ Alors, au moindre doute, contactez un professionnel pour inspecter votre domicile et éviter de subir l'invasion de ces nuisibles ! 

#punaisesdelit #punaisesdelitparis #punaisesdelits #locationtouristique #retourdevacances #nuisibles

Sources : INSERM / Ministère de la Santé",2023-09-05 19:03,93,,83,,1,0,0,"0",1,"12.05",,,,,
"3184542800867344686_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/374878703_1797971143954162_123225301971709441_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Yd4dxEdnG1oAX8dxOZC&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD6kf-VIOswRp9BwLeYVICY2vDbSRoJQTehysT2I1kxEw&oe=6508F12D","https://www.instagram.com/p/CwxxM4RucEu/","🛌🐞 Petites mais (très) envahissantes 

Vous en avez entendu parler, elles ont été le fil rouge de cet été : les punaises de lit ! Elles se glissent dans nos matelas, nos murs, nos canapés et même nos cinémas🍿

🩸 La punaise de lit est un petit insecte hématophage, c'est à dire qu'elle se nourrit de sang, notamment humain. Une habitude qui mène ses victimes à constater d'énormes plaques de morsures rouges. Des réveils douloureux qui peuvent rendre le quotidien invivable... 

🧳 Elles migrent en se cachant dans nos tissus, notamment les sacs, les matelas, les oreillers, les draps... Plus nous nous déplaçons, plus elles prolifèrent ; logique donc de les voir à la une des actualités au plus fort des vacances estivales 

!📊 Une fois installée, la punaise de lit se reproduit vitesse grand V : jusqu'à 500 œufs pour une punaise, à raison de 3 œufs par jours. Le seul moyen de s'en débarrasser : faire appel à des professionnels, qui peuvent faire usage de produits et d'équipements spécifiques. 

🚨 Chez Interventions Nuisibles, c'est presque une intervention par jour qui concerne les punaises de lit.

📢 Restez connectés ! À l'occasion de la rentrée, nous avons préparé une série spéciale de conseils pour vous. Et si vous écoutez bien, vous pourriez même reconnaître certains de ces conseils d'une source très médiatisée. 😉

N'attendez pas d'être envahi, prenez les devants. Si vous avez besoin d'aide, n'hésitez pas à nous contacter ☎️

🛌🔍 #PunaisesDeLit #ConseilsExperts #ProtégezVotreMaison",2023-09-04 19:05,60,,52,,1,0,0,"0",1,"19.23",,,,,
"3182970765409955533_55644265820","FEED_CAROUSEL_ALBUM","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/374209939_132587543257874_4019161979425868749_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YfTiEKouCOQAX9MfoMN&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDvOHlj_7M82EmbSIvjB2-ZX1deVHgf-tX8KQj8RKbNfA&oe=65096646","https://www.instagram.com/p/CwsLwwKtq7N/","📅 Vous avez complété votre Nuisidex ! 

Pour bien vous préparer à l'arrivée de l'automne et de l'hiver, voici un calendrier pour repérer les principales périodes d'invasion par espèce. 

Préparez vous, car l'hiver arrive ❄️🐺

Avec à nos conseils, vous serez toujours prêts à protéger votre domicile ! 💪 

Et pour toutes vos questions et urgences ➡️ rendez-vous dans la bio, nos équipes sont toujours à votre écoute 🚨

#AttrapezLesTous #nuisibles #maison #inspiration #tranquilité #agenda",2023-09-02 15:01,42,,28,,1,0,0,"0",1,"35.71",,,,,
"3182834217847858083_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/373273792_1048201483256086_6541838136092945205_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=o99Li_Wrk-4AX8475AQ&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBg8LiZWoPxNeZh_nAoIlSWBhXev2EPop3ljk9SQ2Iigg&oe=650A4071","https://www.instagram.com/p/CwrstuVx6Oj/","🐜 Termites- Nuisidex Entry 07

🪵La termite n'aime pas le froid, ce qui explique d'ailleurs que leurs grandes migrations ont lieu au début du printemps vers mars / avril. Mais certaines espèces migrent au début de l'automne, notamment vers les structures en bois sec, pour y passer l'hiver. Mauvaise nouvelle pour votre maison, ces rongeurs de bois ne vous laissent pas totalement tranquille pendant la saison froide. 

Protégez vos boiseries contre cet insecte invasif et vorace ! Une équipe professionnelle vous accompagne pour sécuriser votre logement.

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#termites #automne #bois #pokédex",2023-09-02 10:30,38,,35,,0,0,0,"0",0,"0",,,,,
"3182713336712340845_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/373330065_2025669497792173_7075305816343116701_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8cyvcVGo9DUAX8ja17M&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA5NuJ9uIbcygKANQYxnHoEfaFXVWDYCGox9VXLAaxceg&oe=6509C8E3","https://www.instagram.com/p/CwrROrAoyVt/","🐛 Punaises - Nuisidex Entry 06

👃La punaise s'infiltre dans les maisons à l'approche des journées froides de l'hiver et de l'automne. Elle vrombit, se cogne et dérange plus qu'elle ne menace. Cependant, sa présence représente une véritable gêne, notamment au travers de son odeur provenant des glandes odoriférantes. Un système de défense qui répand un fumet fétide !

Alors ne laissez plus les punaises envahir votre logement et parfumer vos pièces, faites appel à des professionnels !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#punaise #automne  #odeurs #pokédex",2023-09-02 06:30,31,,29,,0,0,0,"0",0,"0",,,,,
"3182320838417779950_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/373068310_825281765713668_5268998506744927742_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=kCONVIQBGM0AX9R5cXC&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDf7WtVmddRZQuuZS_kZGoWUDutg3K9tyxbPcE2pe_kLQ&oe=65092421","https://www.instagram.com/p/Cwp3_EfNwzu/","🐞 Punaises de lit - Nuisidex Entry 05

🌃 De plus en plus répandues dans l'Hexagone, les punaises de lit sont un véritable enfer pour ceux qui les subissent. Une fois installées dans nos matelas, tout s'enchaîne : insalubrité, via leurs petites déjections noires au creux du matelas, mais aussi dérangements nocturnes, car ces animaux se nourrissent de notre sang au travers de morsures à même la peau. 

Reprenez le contrôle sur votre nuit, ne laissez pas les punaises de lit gagner, en faisant appel à des professionnels !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#punaisesdelit #bedbug  #sommeil #pokédex",2023-09-01 17:30,81,,73,,1,0,0,"0",1,"13.7",,,,,
"3182155623549909745_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/372603843_630871265554722_1806240790210594198_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zf0koY0EOlsAX9QfoEl&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAVgB2kw9UWfIH8XgMzv4COstG5zy1HC8Ky0q4-60mSHQ&oe=650A0022","https://www.instagram.com/p/CwpSa4JtDrx/","🐛 Puces - Nuisidex Entry 04

🔝Les puces raffolent de l'intérieur de nos maisons durant l'automne et l'hiver. Elles utilisent les animaux de compagnie pour infiltrer notre domicile, avant de se répandre dans les parquets, les tissus et autres espaces exigus.  Une fois la colonie lancée, votre maison peu devenir invivable à cause de leurs bonds et de leurs morsures...

Alors luttez contre l'infestation bondissante des puces, en faisant appel à une équipe experte dans leur extermination !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#puces #chat  #chiens #pokédex",2023-09-01 12:02,32,,25,,0,0,0,"0",0,"0",,,,,
"3182004306247830275_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/373617994_1673024919842791_8802555120362917918_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9szy3G8uhWMAX-rCBP4&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD7vEsTZNTQ1H_vKGE2IuR-EpXK7C2_TZpRn7ZL7-KpLg&oe=650919F3","https://www.instagram.com/p/CwowA67qksD/","🦟 Moustiques - Nuisidex Entry 03

🌗Contrairement à une idée très répandue, le moustique ne disparaît pas forcément avec la fin de l'été. Certaines espèces restent actives au début de l'automne, n'hibernant que pendant la saison froide, pour sortir de son nid à l'approche du printemps, aux alentours de mars. Ils gâchent nos étés, mais peuvent aussi ruiner l'arrière saison !

Vous n'en pouvez plus du bourdonnement incessant des moustiques et de leurs piqures ? Faites appel à des professionnels !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#moustiques #piqure  #nuisibles #pokédex",2023-09-01 07:01,37,,32,,0,0,0,"0",0,"0",,,,,
"3181535666797774546_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/372700746_276098428512636_660473887525462712_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=UFo9L3KCXc4AX_6lM1Q&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfArV7rG8-du422fC5-jeFnGJ7cguuE3K0Uh2bGEpafCbw&oe=650A749A","https://www.instagram.com/p/CwnFdUbt4bS/","🐭 Rongeur - Nuisidex Entry 02

🔥Les rongeurs adorent nos maisons et bâtiments en hiver. Rats, souris et autres espèces s'infiltrent par le moindre trou pour venir passer l'hiver en grignotant. Grignoter notre nourriture, mais aussi les câbles et installations au sein de l'habitation. Attention aux dégâts qui peuvent êtres conséquents !

Si vous repérez des traces de rongeur dans votre domicile, ne perdez pas de temps et contactez des professionnels !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#rat #rongeur #nuisibles #pokédex",2023-08-31 15:30,51,,42,,2,0,0,"0",2,"47.62",,,,,
"3181384672047627723_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/371250456_1483379325811069_7361329335670366578_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=pPIOykSR1aEAX9PLsFZ&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDekSRBgLnvxd1gIfdITnBldtSvg3pKUtFTkNHraH4uqQ&oe=650A9F35","https://www.instagram.com/p/CwmjIDnRX3L/","🐜 Cafard - Nuisidex Entry 01 

🥶 Pour se protéger du froid, le cafard s'infiltre dans nos logements. À proximité de la chaleur et de l'humidité du domicile, cet insecte s'approprie votre nourriture et apporte la saleté et l'insalubrité. 

Attention, le cafard est un nuisible résistant qui peut être complexe à éliminer ! De plus, sa présence peut entraîner des réactions allergiques ainsi que de l'asthme. 

Si vous repérez une infestation de blattes ou de cafards, faites appel à des professionnels pour les attraper tous !

Interventions Nuisibles protège votre hiver ➡️ Nos contacts et numéros d'urgence dans la bio !

#cafard #blattes #nuisibles #pokédex",2023-08-31 10:30,49,,42,,2,0,0,"0",2,"47.62",,,,,
"3181249285029295956_55644265820","FEED_IMAGE","https://scontent-lcy1-1.cdninstagram.com/v/t51.2885-15/372069598_314513857627306_4629913383734103592_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2wCkGV3phXgAX-4eh_7&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDpTV4lhX74NVXFPdgmh3mOwUCunq-jOnWVLgWuBSXBnQ&oe=650A3A28","https://www.instagram.com/p/CwmEV6oIvdU/","🚀 Préparez vous à la fin de l'été ! 

Nous lançons le Nuisidex, votre guide ultime pour découvrir et combattre les nuisibles d'automne et d'hiver. 🍂❄️

Rongeurs, cafards, moustiques, découvrez toutes les espèces invasives qui s'infiltrent dans les maisons et qui gâchent nos soirées au chaud. 

Gardez un œil sur nos posts pour devenir le maître de la saison froide ! 👾 

#AttrapezLesTous #nuisibles #toussensibles #pokédex",2023-08-31 06:01,46,,38,,1,0,0,"0",1,"26.32",,,,,
